Product,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),#dies,Avg Die Area,Emb CFP Chiplet,Ope CFP Chiplet,Tot CFP Chiple
R-9-3950X,7,105,148,2x 74,2,74,4.082264645,83.36436453,87.44662917
R-9-5950X,7,105,148,2x 74,2,74,4.082264645,83.36436453,87.44662917
T-3990X,7,280,592,8x 74,8,74,17.06518866,222.3049721,239.3701607
T-PRO-3995WX,7,280,592,8x 74,8,74,17.06518866,222.3049721,239.3701607
T-PRO-5995WX,7,280,648,8x 81,8,81,18.89070877,222.3049721,241.1956808
