Product,Type,Release Date,Process Size (nm),TDP (W),DieSizeValue,Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor
NVIDIA GeForce MX350,GPU,2020-02-10,14.0,20.0,132.0,132,3300.0,1354.0,Samsung,NVIDIA
NVIDIA GeForce MX350,GPU,2020-02-10,14.0,20.0,132.0,132,3300.0,747.0,Samsung,NVIDIA
AMD Radeon Graphics 384SP,GPU,2021-04-13,7.0,45.0,180.0,180,9800.0,300.0,TSMC,AMD
AMD Radeon Graphics 384SP Mobile,GPU,2021-04-13,7.0,45.0,180.0,180,9800.0,300.0,TSMC,AMD
AMD Radeon Graphics 448SP,GPU,2021-04-13,7.0,45.0,180.0,180,9800.0,300.0,TSMC,AMD
AMD Radeon Graphics 448SP Mobile,GPU,2021-04-13,7.0,45.0,180.0,180,9800.0,300.0,TSMC,AMD
AMD Radeon PRO V620,GPU,2021-11-04,7.0,300.0,520.0,520,26800.0,1825.0,TSMC,AMD
AMD Radeon PRO W6600,GPU,2021-06-08,7.0,100.0,237.0,237,11060.0,2331.0,TSMC,AMD
AMD Radeon PRO W6800,GPU,2021-06-08,7.0,250.0,520.0,520,26800.0,2075.0,TSMC,AMD
AMD Radeon Pro W6600M,GPU,2021-06-08,7.0,90.0,237.0,237,11060.0,1224.0,TSMC,AMD
AMD Radeon Pro W6600X,GPU,2021-08-03,7.0,120.0,237.0,237,11060.0,2068.0,TSMC,AMD
AMD Radeon Pro W6800X,GPU,2021-08-03,7.0,200.0,520.0,520,26800.0,1800.0,TSMC,AMD
AMD Radeon Pro W6800X Duo,GPU,2021-08-03,7.0,400.0,520.0,520,26800.0,1800.0,TSMC,AMD
AMD Radeon Pro W6900X,GPU,2021-08-03,7.0,300.0,520.0,520,26800.0,1825.0,TSMC,AMD
AMD Radeon RX 6600,GPU,2021-10-13,7.0,132.0,237.0,237,11060.0,1626.0,TSMC,AMD
AMD Radeon RX 6600 XT,GPU,2021-07-30,7.0,160.0,237.0,237,11060.0,1968.0,TSMC,AMD
AMD Radeon RX 6600M,GPU,2021-05-31,7.0,100.0,237.0,237,11060.0,2068.0,TSMC,AMD
AMD Radeon RX 6700,GPU,2021-06-09,7.0,175.0,335.0,335,17200.0,1941.0,TSMC,AMD
